,Unnamed: 0,sentence_id,screening,label,text,translation
36,36,2316,-3,1,"You had loan officers were -- that were giving loans and mortgages that really shouldn't have been given, because the folks didn't qualify.","Es gab Kreditsachbearbeiter, die Kredite und Hypotheken vergaben, die eigentlich nicht hätten vergeben werden dürfen, weil die Leute sich nicht qualifiziert hatten."
37,37,32009,-3,1,And Donald insulted and attacked them for weeks over their religion.,Und Donald hat sie wochenlang wegen ihrer Religion beleidigt und angegriffen.
38,38,8726,-3,1,"We have a coal supply that is equal to 50% of the world's coal supply, good for centuries, in this country.","Wir haben in diesem Land einen Kohlevorrat, der 50 % des Weltkohlevorrats entspricht und für Jahrhunderte reicht."
39,39,21457,-3,1,"In terms of programs, I've submitted, what, 4 different budgets to the US Congress in great detail.","Was die Programme betrifft, so habe ich dem US-Kongress vier verschiedene Haushaltspläne vorgelegt, die sehr detailliert sind."
40,40,27831,-3,1,"I said that we would provide guarantees, and -- and that was what was able to allow these companies to go through bankruptcy, to come out of bankruptcy.","Ich sagte, dass wir Garantien bereitstellen würden, und - und das war es, was es diesen Unternehmen ermöglichte, den Konkurs zu durchlaufen, aus dem Konkurs herauszukommen."
41,41,33427,-3,1,"... to sign immigration reform, and George W. Bush supported it, as well.","... die Einwanderungsreform zu unterzeichnen, und auch George W. Bush unterstützte sie."
42,42,30262,-3,1,We're a country that owes $20 trillion.,"Wir sind ein Land, das 20 Billionen Dollar Schulden hat."
43,43,909,-3,1,But I also believe we need an agricultural policy which doesn't cost us 15 to 20 to 25 billion dollars a year that it's been costing us over the course of the past three or four years under this administration.,"Aber ich glaube auch, dass wir eine Agrarpolitik brauchen, die uns nicht 15 bis 20 bis 25 Milliarden Dollar pro Jahr kostet, wie es in den letzten drei oder vier Jahren unter dieser Regierung der Fall war."
44,44,7036,-3,1,"If you're married, you got tax relief.","Wenn Sie verheiratet sind, haben Sie Steuererleichterungen."
45,45,27627,-3,1,So our troops will come home at that point.,Unsere Truppen werden also zu diesem Zeitpunkt nach Hause kommen.
46,46,34131,-3,1,"He violated the red line in the sand, and he made so many mistakes, made all the mistakes.","Er hat die rote Linie im Sand verletzt, und er hat so viele Fehler gemacht, alle Fehler gemacht."
47,47,8197,-3,1,We have developed more hydroelectric power in these seven and a half years than was developed in any previous administration in history.,Wir haben in diesen siebeneinhalb Jahren mehr Wasserkraft entwickelt als in jeder früheren Regierung in der Geschichte.
48,48,18687,-3,1,"No president, through all of American history, has ever ceded, and nor would I, the right to preempt in any way necessary to protect the United States of America.","In der gesamten amerikanischen Geschichte hat kein Präsident jemals das Recht aufgegeben, zum Schutz der Vereinigten Staaten von Amerika Vorkehrungen zu treffen, und ich würde es auch nicht tun."
49,49,16608,-3,1,Our country now has no comprehensive energy program or policy.,Unser Land hat derzeit kein umfassendes Energieprogramm und keine umfassende Energiepolitik.
50,50,14867,-3,1,"I would call to your attention that we were in a war that wound down during those eight years, which of course made a change in military spending because of turning from war to peace.","Ich möchte Sie darauf aufmerksam machen, dass wir uns in einem Krieg befanden, der in diesen acht Jahren zu Ende ging, was natürlich eine Veränderung der Militärausgaben zur Folge hatte, da wir vom Krieg zum Frieden übergingen."
51,51,8757,-3,1,"Because in industry today, we're producing more, over the last several years, and at 12% less use of energy than we were back in about 1973.",Denn in der Industrie produzieren wir heute in den letzten Jahren mehr und verbrauchen dabei 12 % weniger Energie als etwa 1973.
52,52,2380,-3,1,And three-quarters of them said it makes us less likely to hire people.,"Und drei Viertel von ihnen sagten, dass wir dadurch weniger wahrscheinlich Leute einstellen."
53,53,8755,-3,1,"That is the same Government that, in 1920, told us we only had enough oil left for 13 years, and 19 years later, told us we only had enough left for another 15 years.","Das ist dieselbe Regierung, die uns 1920 sagte, wir hätten nur noch genug Öl für 13 Jahre, und die uns 19 Jahre später sagte, wir hätten nur noch genug für weitere 15 Jahre."
54,54,13427,-3,1,"And the Vice President cast the deciding vote against federal aid for teachers' salaries in the Senate, which prevented that being added.","Und der Vizepräsident gab im Senat die entscheidende Stimme gegen die Bundesbeihilfe für die Lehrergehälter ab, wodurch diese nicht hinzugefügt werden konnte."
55,55,21717,-3,1,I am not for national registration of firearms.,Ich bin nicht für eine nationale Registrierung von Feuerwaffen.
56,56,8950,-3,1,"But at the same time, we gave back to the people of California - in tax rebates, tax credits, tax cuts - $5.7 billion.","Aber gleichzeitig haben wir den Menschen in Kalifornien - in Form von Steuernachlässen, Steuergutschriften und Steuersenkungen - 5,7 Milliarden Dollar zurückgegeben."
57,57,27747,-3,1,"They don't want to see the world break out into -- into various forms of chaos, because they have to -- they have to manufacture goods and put people to work and they have about 20,000 -- 20 million, rather, people coming out of the farms every year coming into the cities, needing jobs.","Sie wollen nicht, dass die Welt in verschiedene Formen des Chaos ausbricht, denn sie müssen Waren herstellen und Menschen in Arbeit bringen, und sie haben etwa 20.000 - besser gesagt 20 Millionen Menschen, die jedes Jahr von den Farmen in die Städte kommen und Arbeit brauchen."
58,58,16516,-3,1,"If we assume the ah - uh - a rate of growth of our economy, equivalent to what it was during President Johnson, President Kennedy, even before the - the - the - uh wa uh - Vietnese- namese War, and if we assume that at the end of the four-year period we can cut our unemployment rate down to 4 to 4 and a half percent - under those circumstances, even assuming no elimination of unnecessary programs and assuming an increase in the ad- in the allotment of money to finance programs, increasing as the inflation rate does - my economic projections, I think confirmed by the House uh - and the Senate committees, have been with the $60 billion extra amount of money that can be spent in fiscal year '81 which will be the last year of this next term.","Wenn wir von einer Wachstumsrate unserer Wirtschaft ausgehen, die derjenigen unter Präsident Johnson, Präsident Kennedy und sogar vor dem Vietnamkrieg entspricht, und wenn wir davon ausgehen, dass wir am Ende des Vierjahreszeitraums unsere Arbeitslosenquote auf 4 bis 4,5 Prozent senken können - unter diesen Umständen, selbst wenn wir davon ausgehen, dass keine unnötigen Programme gestrichen werden und die Mittelzuweisungen zur Finanzierung von Programmen mit der Inflationsrate steigen - meine Wirtschaftsprognosen, die, wie ich glaube, von den Ausschüssen des Repräsentantenhauses und des Senats bestätigt wurden, beziehen sich auf den zusätzlichen Betrag von 60 Milliarden Dollar, der im Haushaltsjahr '81, dem letzten Jahr der nächsten Amtszeit, ausgegeben werden kann."
59,59,2820,-3,1,"A few months later, he said he wanted to cut the defense budget by eight or nine billion dollars.","Einige Monate später sagte er, er wolle den Verteidigungshaushalt um acht oder neun Milliarden Dollar kürzen."
60,60,34250,-3,1,"He now also aligned with Iran, who we made very powerful.","Er ist jetzt auch mit dem Iran verbündet, den wir sehr mächtig gemacht haben."
61,61,6977,-3,1,"But I want to warn my fellow citizens: The cost of doing nothing, the cost of saying the current system is OK, far exceeds the costs of trying to make sure we save the system for our children.","Aber ich möchte meine Mitbürger warnen: Die Kosten des Nichtstuns, die Kosten der Behauptung, das derzeitige System sei in Ordnung, übersteigen bei weitem die Kosten, die entstehen, wenn wir versuchen, das System für unsere Kinder zu retten."
62,62,10863,-3,1,"Nuclear power is safe, and it's clean, and it creates hundreds of thousands of jobs.","Die Kernenergie ist sicher, sie ist sauber und schafft Hunderttausende von Arbeitsplätzen."
63,63,14912,-3,1,"At the same time, as I have said earlier, we have added about nine million net new jobs in that period of time - a record never before achieved.","Gleichzeitig haben wir, wie ich bereits sagte, in diesem Zeitraum netto etwa neun Millionen neue Arbeitsplätze geschaffen - ein nie zuvor erreichter Rekord."
64,64,24841,-3,1,The Soviet Union is no more and we're working with a democratic country.,Die Sowjetunion gibt es nicht mehr und wir arbeiten mit einem demokratischen Land zusammen.
65,65,28054,-3,1,"As a matter of fact, I brought Republicans and Democrats together to do just that in the State of Texas to get a patient's bill of rights through.","In der Tat habe ich Republikaner und Demokraten zusammengebracht, um genau das im Bundesstaat Texas zu tun und ein Gesetz über Patientenrechte durchzusetzen."
66,66,16829,-3,1,"This permits a company to create uh - a dummy corporation, to export their products, and then not to pay the full amount of taxes on them.","Dies ermöglicht es einem Unternehmen, eine Scheinfirma zu gründen, seine Produkte zu exportieren und dann nicht den vollen Steuerbetrag dafür zu zahlen."
67,67,8928,-3,1,"And one is going to give you $122 more if you happen to be in that range of about a $20,000-a-year income.","Und einer gibt Ihnen 122 Dollar mehr, wenn Sie zufällig in diesem Bereich von etwa 20.000 Dollar Jahreseinkommen liegen."
68,68,8124,-3,1,I'm not satisfied to have fifty percent of our steel-mill capacity unused.,"Ich bin nicht damit zufrieden, dass fünfzig Prozent unserer Stahlwerkskapazität ungenutzt bleiben."
69,69,10609,-3,1,And Senator McCain voted for four out of five of those George Bush budgets.,Und Senator McCain hat für vier von fünf dieser Haushalte von George Bush gestimmt.
70,70,15294,-3,1,"Now, it is trillions of dollars out of balance, and the only answer that has come so far is the biggest single tax increase in our nation's history - the payroll tax increase for Social Security - which will only put a band-aid on this and postpone the day of reckoning by a few years at most.","Jetzt sind Billionen von Dollar aus dem Gleichgewicht geraten, und die einzige Antwort, die bisher gekommen ist, ist die größte einzelne Steuererhöhung in der Geschichte unseres Landes - die Erhöhung der Lohnsummensteuer für die Sozialversicherung -, die nur ein Pflaster darauf setzen und den Tag der Abrechnung um höchstens ein paar Jahre verschieben wird."
71,71,19104,-3,1,"We passed 100,000 police, the assault weapons ban, the Brady Bill.","Wir haben 100.000 Polizisten, das Verbot von Angriffswaffen und das Brady-Gesetz verabschiedet."
72,72,27084,-3,1,They're willing to work with us.,"Sie sind bereit, mit uns zusammenzuarbeiten."
73,73,20753,-3,1,Imagine how many IRS agents it is going to take to be able to figure out his targeted tax cut for the middle class that excludes 50 million Americans.,"Stellen Sie sich vor, wie viele IRS-Agenten nötig sein werden, um seine gezielte Steuersenkung für die Mittelschicht, von der 50 Millionen Amerikaner ausgeschlossen sind, zu durchschauen."
74,74,25897,-3,1,We have never been asked to send troops to the West Bank.,"Wir sind nie gebeten worden, Truppen in das Westjordanland zu entsenden."
75,75,14952,-3,1,We've had the Central Accounting.,Wir hatten die zentrale Buchhaltung.
76,76,6216,-3,1,"Senator Obama, as a member of the Illinois State Senate, voted in the Judiciary Committee against a law that would provide immediate medical attention to a child born of a failed abortion.","Senator Obama hat als Mitglied des Senats des Bundesstaates Illinois im Justizausschuss gegen ein Gesetz gestimmt, das die sofortige medizinische Versorgung von Kindern vorsieht, die nach einer missglückten Abtreibung geboren wurden."
77,77,3116,-3,1,"Just recently, President Rabin said that our relations were never better.","Erst kürzlich sagte Präsident Rabin, dass unsere Beziehungen nie besser waren."
78,78,20898,-3,1,We have a strong charter school movement that I signed the legislation to get started in the State of Texas.,"Wir haben eine starke Charterschulbewegung, für die ich die Gesetzgebung unterzeichnet habe, um sie im Staat Texas in Gang zu bringen."
79,79,20338,-3,1,I donÃ¢â‚¬â„¢t think he will because under his plan if you work out the numbers Ã‚ $100 billion comes out of Medicare just for the wealthiest 1% in the tax cut.,"Ich glaube nicht, dass er das tun wird, denn wenn man die Zahlen ausrechnet, werden bei seinem Plan allein für die reichsten 1 % 100 Milliarden Dollar aus dem Medicare-Programm herausgenommen."
80,80,8962,-3,1,"But I do know that, despite his pledge to reduce state Government spending, that it rose from $4.6 billion when he took office in 1967, to $10.2 billion during his eight years in office.","Aber ich weiß, dass trotz seines Versprechens, die Ausgaben des Staates zu reduzieren, diese von 4,6 Milliarden Dollar bei seinem Amtsantritt 1967 auf 10,2 Milliarden Dollar während seiner achtjährigen Amtszeit gestiegen sind."
81,81,25136,-3,1,"In a recent 30-day period, 37 terrorist acts in 20 countries have been committed.",In den letzten 30 Tagen wurden 37 Terroranschläge in 20 Ländern verübt.
82,82,12414,-3,1,"That's going to be up to the people, isn't it?","Das hängt von den Menschen ab, nicht wahr?"
83,83,27076,-3,1,"And finally, we don't want to have military involvement there.",Und schließlich wollen wir uns dort nicht militärisch engagieren.
84,84,14929,-3,1,"But that can't hide the fact that there are eight million men and women out of work in America today, and two million of those lost their jobs in just the last few months.","Das kann aber nicht darüber hinwegtäuschen, dass heute in Amerika acht Millionen Männer und Frauen ohne Arbeit sind, von denen zwei Millionen allein in den letzten Monaten ihren Arbeitsplatz verloren haben."
85,85,17644,-3,1,"Yes, there has been an increase in poverty, but it is a lower rate of increase than it was in the preceding years before we got here.","Ja, die Armut hat zugenommen, aber es ist ein geringerer Anstieg als in den Jahren vor unserer Ankunft."
86,86,7676,-3,1,"About two percent of our population of white people are - is illiterate, ten per cent of our colored population.","Etwa zwei Prozent unserer weißen Bevölkerung sind Analphabeten, zehn Prozent unserer farbigen Bevölkerung."
87,87,28462,-3,1,Right now our military is the strongest in the entire history of the world.,Zurzeit ist unser Militär das stärkste in der gesamten Weltgeschichte.
88,88,3715,-3,1,I saved the taxpayers $6.8 billion by fighting a contract that was negotiated between Boeing and DOD that was completely wrong.,"Ich habe den Steuerzahlern 6,8 Milliarden Dollar erspart, indem ich einen Vertrag bekämpft habe, der zwischen Boeing und dem Verteidigungsministerium ausgehandelt wurde und völlig falsch war."
89,89,17129,-3,1,This is the worst trade year in American history by far.,Dies ist das mit Abstand schlechteste Handelsjahr in der amerikanischen Geschichte.
90,90,1851,-3,1,"But under Governor Romney's definition, there are a whole bunch of millionaires and billionaires who are small businesses.","Aber nach der Definition von Gouverneur Romney gibt es eine ganze Reihe von Millionären und Milliardären, die kleine Unternehmen sind."
91,91,6926,-3,1,"The Lewin report accurately noted that there are going to be 20 million people, over 20 million people added to government-controlled health care.","Der Lewin-Bericht stellte zutreffend fest, dass 20 Millionen Menschen, über 20 Millionen Menschen, in die staatlich kontrollierte Gesundheitsversorgung aufgenommen werden."
92,92,32170,-3,1,"Right now, we are at 90 percent health insurance coverage.",Im Moment haben wir einen Krankenversicherungsschutz von 90 Prozent.
93,93,8326,-3,1,The farmer produced these surpluses because the government asked him to through legislation during the war.,"Der Landwirt produzierte diese Überschüsse, weil die Regierung ihn während des Krieges per Gesetz dazu aufforderte."
94,94,1086,-3,1,"But to add one other feature, I don't control any of the tapes.",Aber um noch etwas hinzuzufügen: Ich kontrolliere keines der Bänder.
95,95,15178,-3,1,"Now, to suggest that because two Republican presidents tried to pass the SALT treaty - that puts them on its side - I would like to say that President Ford, who was within 90% of a treaty that we could be in agreement with when he left office, is emphatically against this SALT treaty.","Wenn man nun behauptet, weil zwei republikanische Präsidenten versucht haben, den SALT-Vertrag zu verabschieden, stünden sie auf dessen Seite, dann möchte ich sagen, dass Präsident Ford, der zu 90 % kurz vor einem Vertrag stand, mit dem wir einverstanden sein könnten, als er aus dem Amt schied, entschieden gegen diesen SALT-Vertrag ist."
96,96,30216,-3,1,"I voted for every sanction against Iran when I was in the Senate, but it wasn't enough.","Als ich im Senat war, habe ich für alle Sanktionen gegen den Iran gestimmt, aber das war nicht genug."
97,97,16609,-3,1,"We have twenty different agencies in the federal government responsible for the production, the regulation, the uh - information about energy, the conservation of energy, spread all over government.","Wir haben zwanzig verschiedene Behörden in der Bundesregierung, die für die Produktion, die Regulierung, die Information über Energie und die Energieeinsparung zuständig sind, verteilt über die gesamte Regierung."
98,98,8202,-3,1,We often hear gross national product discussed and in that respect may I say that when we compare the growth in this Administration with that of the previous Administration that then there was a total growth of eleven percent over seven years; in this Administration there has been a total growth of nineteen per cent over seven years.,"Wir hören oft, dass über das Bruttosozialprodukt gesprochen wird, und in diesem Zusammenhang möchte ich sagen, dass, wenn wir das Wachstum in dieser Regierung mit dem der vorherigen Regierung vergleichen, es damals ein Gesamtwachstum von elf Prozent über sieben Jahre gab; in dieser Regierung gab es ein Gesamtwachstum von neunzehn Prozent über sieben Jahre."
99,99,14898,-3,1,"which his own running mate, George Bush, described as voodoo economics, and said that it would result in a 30% inflation rate.","die sein eigener Kandidat, George Bush, als Voodoo-Ökonomie bezeichnete und sagte, dass sie zu einer Inflationsrate von 30 % führen würde."
100,100,14087,-3,1,Look what's happening to McDonnell Douglas; even Boeing is losing market share -- because we let the Europeans spend $25-$40 billion on Airbus without an appropriate competitive response.,"Schauen Sie sich an, was mit McDonnell Douglas passiert; sogar Boeing verliert Marktanteile - weil wir die Europäer 25 bis 40 Milliarden Dollar für Airbus ausgeben lassen, ohne eine angemessene wettbewerbsfähige Antwort zu haben."
101,101,11645,-3,1,"We did, actually, send troops into Rwanda to help with the humanitarian relief measures.","Wir haben in der Tat Truppen nach Ruanda geschickt, um bei den humanitären Hilfsmaßnahmen zu helfen."
102,102,12659,-3,1,We've had the lowest rate of increase of economic growth in the last nine months of any major industrialized society in the world.,Wir haben in den letzten neun Monaten die niedrigste Wachstumsrate aller großen Industriegesellschaften der Welt gehabt.
103,103,1440,-3,1,"Since the depths of the recession, we have added four million jobs.",Seit dem Tiefpunkt der Rezession haben wir vier Millionen neue Arbeitsplätze geschaffen.
104,104,24320,-3,1,Our dollar's at an all time low against some foreign currencies.,Unser Dollar ist im Vergleich zu einigen ausländischen Währungen so niedrig wie nie zuvor.
105,105,22305,-3,1,"Not to the schools but to -- you know, 46% of the teachers in Chicago, public school teachers, send their kids to private school.","Nicht für die Schulen, sondern für... Sie wissen, dass 46 % der Lehrer in Chicago, die an öffentlichen Schulen unterrichten, ihre Kinder auf Privatschulen schicken."
106,106,27385,-3,1,"Our Navy is old -- excuse me, our Navy is smaller now than at any time since 1917.","Unsere Marine ist alt - entschuldigen Sie, unsere Marine ist jetzt kleiner als jemals zuvor seit 1917."
107,107,19466,-3,1,The administration says they support the instant check.,"Die Verwaltung sagt, dass sie die Sofortprüfung unterstützt."
108,108,1020,-3,1,"I proposed, as you know, a reduction to increase the personal exemption from seven hundred and fifty to a thousand dollars.","Ich habe, wie Sie wissen, eine Senkung vorgeschlagen, um den persönlichen Freibetrag von siebenhundertfünfzig auf tausend Dollar zu erhöhen."
109,109,23226,-3,1,He's the first president in 72 years to lose jobs.,"Er ist der erste Präsident seit 72 Jahren, der Arbeitsplätze verliert."
110,110,1265,-3,1,"I fought for, and the Congress finally went along with a general revenue sharing program, whereby cities and uh - states, uh - the cities two-thirds and the states one-third, get over six billion dollars a year in cash through which they can uh - provide many, many services, whatever they really want.","Ich habe dafür gekämpft, und der Kongress hat sich schließlich für ein allgemeines Programm zur Aufteilung der Einnahmen entschieden, bei dem die Städte und die Bundesstaaten, die Städte zu zwei Dritteln und die Bundesstaaten zu einem Drittel, über sechs Milliarden Dollar pro Jahr in bar erhalten, mit denen sie viele, viele Dienstleistungen erbringen können, was immer sie wirklich wollen."
111,111,22642,-3,1,He can't come here and tell you that he's left no child behind because he didn't fund no child left behind.,"Er kann nicht hierher kommen und sagen, dass er kein Kind zurückgelassen hat, weil er kein Kind zurückgelassen hat, das er finanziert hat."
112,112,8127,-3,1,"I'm not satisfied when we have over nine billion dollars worth of food - some of it rotting - even though there is a hungry world, and even though four million Americans wait every month for a food package from the government, which averages five cents a day per individual.","Ich bin nicht zufrieden, wenn wir Lebensmittel im Wert von über neun Milliarden Dollar haben - von denen einige verrotten -, obwohl die Welt hungert und obwohl vier Millionen Amerikaner jeden Monat auf ein Lebensmittelpaket der Regierung warten, das im Durchschnitt fünf Cent pro Tag und Person beträgt."
